Unnamed: 0,id,category,subcategory,title,abstract,provider
145,N122668,movies,movies-gallery,Must-see biopics,Take a look at the greatest true-life biographical stories on the big screen.,movieweb
249,N122944,foodanddrink,restaurantsandnews,The Real Reason McDonald's Keeps the Filet-O-Fish on Their Menu,It's something of an underdog story.,rd
489,N50428,entertainment,celebrity,"From cat names to fruit, here are 11 bizarre things celebrities have tried to trademark","From Taylor Swift to Kylie Jenner, a lot of stars have tried to trademark things like commonly used terms, song lyrics, and signature catchphrases.",insider
607,N15371,lifestyle,causes-green-living,Pollution around the world: 30 shocking photos,"While it's easy to become overwhelmed by stats and images about current pollution and trajectories for years to come, the intent of this article is not to instill fear. The intent is to be realistic, to learn from what is going on in the world, and to support one another in our collective efforts to change. Pollution knows no boundaries, so for the sake of future generations, let's err on the side of action and hope.",moneycontrol
641,N46526,tv,tv-celebrity,Kelly Ripa responds to backlash over son in 'extreme poverty' joke,"Kelly RIpa is defending a joke she made about her son on ""Jimmy Kimmel Live!""",cnn
815,N106769,finance,personalfinance,25 Ways to Double Your Paycheck in 1 Month,"From redeeming credit card rewards to selling your own plasma, here are some tips to help you make more money each month.",yahoo
840,N30024,video,animals,Dog perplexed by stuffed animal lookalike,This cute dog gets totally confused with a stuffed animal that looks exactly like it. Too funny!,cuddleclones
913,N126858,travel,travel-videos,Bumpy Ride! How to Avoid Getting the Middle Seat on a Plane,There are a few ways to avoid the dreaded middle seat. Buzz60's Sean Dowling has more.,homework.study
1105,N18399,finance,markets,"Eric Tse, 24, just became a billionaire overnight",A 24-year-old business school graduate has just become an overnight billionaire.,cnn
1338,N13865,tv,tvnews,Survivor Contestant Rudy Boesch Dies at 91 After Long Battle with Alzheimer's Disease,Survivor's Rudy Boesch Dead at 91,today
1493,N27038,tv,tv-celebrity,Julianne Hough Mourns the Deaths of Her Two 'Babies' Lexi and Harley: 'I Am Forever Grateful',Julianne Hough Mourns the Loss of Her Two 'Babies' Lexi and Harley,cnn
1543,N98062,news,newspolitics,Impeachment has put Trump in a different place. He's showing it every day.,"With tweets, speeches and exchanges with reporters, the president has amped up his combativeness in the face of the impeachment inquiry.",cnn
1639,N46994,sports,football_nfl,Frustrated Antonio Brown has active morning on Twitter,"Receiver Antonio Brown continues to wait for his next opportunity, and he continues to be justifiably frustrated by the fact that the NFL's slow-moving investigation is essentially keeping Brown suspended without pay.",profootballtalk.nbcsports
1667,N24115,lifestyle,shop-holidays,100+ Funny White Elephant Gifts That'll Leave Everyone Laughing Hard This Holiday Season,The pressure is on!,popsugar
2044,N56920,lifestyle,lifestylecleaningandorganizing,11 Powerful Products That Cut Your Cleaning Time in Half,"Save time without sacrificing cleanliness at home with these mighty cleaning products. No stain, scum, or smell can handle the battle against them. As an added bonus, many of the products on the list are free of harsh chemicals and scents.",bobvila
2045,N26421,news,newspolitics,Kasich to Congress: 'Look in the mirror at how you want to be remembered',"Former Ohio Gov. John Kasich said his advice for fellow Republicans in Congress during the impeachment process was to ""look in the mirror at how you want to be remembered.",cbsnews
2206,N27352,movies,movies-celebrity,"Emily Ratajkowski Is Being Sued for $150,000 Over an Instagram Photo",What's more? The photographer is also asking for all of the profits the model made off of his work.,eonline
2302,N17746,foodanddrink,foodnews,Why Professional Chefs Refuse to Cook with Truffle Oil,Truffles are some of the priciest ingredients you can buy so how is it that they're so common on restaurant menus these days?,napatrufflefestival
2550,N129651,news,newspolitics,Democrats' 2020 race has a new shadow: Hillary Clinton,Some Democrats are putting up caution signs for Hillary Clinton as she wades back into presidential politics.,aljazeera
2629,N61712,news,newsscienceandtechnology,Air Force's X-37B space plane lands after record 780 days in orbit,"There was no doubt that the US Air Force's X-37B was going to break its own record for time spent in orbit, but it's now clear by how much. The mysterious Boeing-made space plane has landed at Kennedy Space Center after 780 days in orbit, comfortably surpassing the earlier record of 717 days, 20 hours and 42 minutes.",cnn
2695,N53933,news,newsus,Multiple Houses on Fire After Plane Crashes in NJ,"At least two houses are on fire in Colonia, New Jersey, after a plane crash, according to the Colonia Fire Department. A Cessna 414 crashed into a home on Berkley Avenue at 11 a.m. Tuesday, according to the FAA. The FAA will conduct an investigation into the cause of the crash. The number of people aboard and their conditions are unknown. The area is a heavy residential area with tree-lined streets. News 4's Dennis Protsko, who is part of the...",nbcdfw
2729,N25152,finance,markets,Trump blasts Fed as policymakers meet on rates,Trump blasts Fed as policymakers meet on rates,cnbc
2833,N44660,tv,tv-celebrity,Lori Loughlin Is 'Absolutely Terrified' After Being Hit With New Charge,Lori Loughlin Is 'Absolutely Terrified' After Being Hit With New Charge,usmagazine
2931,N35921,lifestyle,lifestyleroyals,A Look Back at Prince Charles and Camilla's Relationship Through the Years,In honor of the third season of The Crown.,vogue
3180,N109436,music,music-celebrity,Kanye West defends supporting Donald Trump: 'I ain't never made a decision only based off my color',"Kanye West, pictured during his White House visit in October 2018, defended his support for President Trump. As the Deseret News reports, West emerged in Salt Lake City on Oct. 5 to host a Saturday edition of his popular church-inspired gatherins, which coincided with Mormon stronghold's 189th Semiannual General Conference of The Church of Jesus Christ of Latter-day Saints.",washingtonexaminer
3636,N59416,news,newsphotos,"I just went to Wegmans for the first time, and now I see why the grocery chain has such a massive cult following","I went to a Wegmans for the first time ever, and I felt like a kid in a candy store   and not just because of all the candy.",businessinsider
3720,N54360,news,newspolitics,Joe Biden reportedly denied Communion at a South Carolina church because of his stance on abortion,Joe Biden has a complicated history with the Catholic Church.,cnn
3739,N51724,lifestyle,lifestyleroyals,Prince Harry acknowledges tensions with William in ITV interview,"Britain's Prince Harry has acknowledged tensions with his older brother Prince William for the first time, saying they are on ""different paths.""",insider
3879,N80778,news,factcheck,Schiff's false claim his committee had not spoken to the whistleblower,The lawmaker heading the impeachment inquiry misled reporters about his committee's contacts with the whistleblower before the complaint was filed.,washingtonpost
4032,N64765,news,newsgoodnews,He had been homeless for decades. Then old friends saw his photo in a newspaper.,Coy Featherston's former classmate canvassed Austin for four days until she found him feeding pigeons outside a church.,washingtonpost
4728,N40944,lifestyle,lifestyledidyouknow,Collector's items that are actually worthless today,"You might be surprised to discover that items like Beanie Babies, Barbie dolls, and Norman Rockwell pieces are actually worthless.",therichest
5312,N109387,lifestyle,lifestyleroyals,"Prince Harry, sans Meghan, makes first official visit to Japan for Rugby World Cup Final","Prince Harry arrived in Japan for the 2019 Rugby World Cup Final between England and South Africa. His wife, Duchess Meghan, did not join him.",usatoday
5758,N55661,foodanddrink,restaurantsandnews,I ate the same meal at America's three largest sub chains   here's the one that reigned supreme,"I ate the same meal at Subway, Jimmy John's, and Jersey Mike's, and the winner scorched the others with the fastest service and best-tasting food.",businessinsider
6137,N46662,autos,autosownership,12 Things to NEVER do While Driving,"Most of these things are no-brainer mistakes that you should avoid while driving. Unfortunately, there's no shortage of apparently brainless drivers on our roads. Here are the things you should NEVER do while driving.",familyhandyman
6227,N26271,news,newscrime,"Student shot teen near California school, slipped into class","A 17-year-old boy gunned down another student outside their school Tuesday, ditched his gun and slipped into a class without arousing suspicion, evading capture for almost two hours as he joined thousands of students locked down inside classrooms because of the shooting, police said.",katc
6482,N115704,tv,tv-celebrity,Felicity Huffman Released From Prison Before End of 14-Day Sentence,The actress served 11 days of her two-week sentence.,abcnews
6722,N34031,finance,finance-savemoney,The cheapest states to buy gas,"See the average prices of regular, mid-grade, premium, and diesel gas in states with below-average gas prices.",cnbc
6895,N77734,news,newsworld,UK to hold rare December election with Brexit on table,"LONDON (AP)   Britain is to hold an early election on Dec. 12 after the House of Commons passed a bill authorizing the vote. Lawmakers voted 438-20 in favor of the bill to give Prime Minister Boris Johnson the early election he sought. It will become law once it is approved Wednesday by the unelected House of Lords, which does not have the power to overrule the elected Commons. WHY IS JOHNSON CALLING FOR A VOTE? The next scheduled election is...",apnews
7104,N47866,sports,football_nfl,Eagles' Fletcher Cox chased would-be assailant off with shotgun,Philadelphia Eagles defensive tackle Fletcher Cox nearly experienced real-life horror last week when the ex-boyfriend of his current girlfriend showed up at his Mullica Hill New Jersey home..,larrybrownsports
